"","PA","Age","yr2_PA","yr2_Age","change_wRC_CON","change_zscore","change_zscore_everyday","PA_ave","age_cohort"
"229",315,23,639,24,0.062,0.616097030356718,2.52867975166355,477,"23-24"
"230",604,23,688,24,-0.013,-0.153426393357396,-0.506122010712159,646,"23-24"
"231",427,23,512,24,0.037,0.288986677702093,1.09052749121491,469.5,"23-24"
"232",429,23,633,24,-0.01,-0.0436446775351094,-0.296452880518902,531,"23-24"
"233",687,23,683,24,0.023,0.398410461739006,1.55895966305842,685,"23-24"
"234",508,23,425,24,-0.048,-0.356738493214191,-1.44959393127111,466.5,"23-24"
"235",435,23,486,24,0.041,0.628834807416017,2.61645235981188,460.5,"23-24"
"236",312,23,518,24,0.023,0.512366036755325,1.80716976020194,415,"23-24"
"237",436,23,437,24,0.00700000000000001,0.0299233477648262,0.255954383051524,436.5,"23-24"
"238",578,23,602,24,-0.017,-0.266957010691546,-1.2697453481326,590,"23-24"
"239",590,23,393,24,-0.00600000000000001,-0.124392124395796,-0.508372826393088,491.5,"23-24"
"240",449,23,560,24,-0.00900000000000001,0.0620438582518912,0.161499901835864,504.5,"23-24"
"241",548,23,592,24,0.024,0.41529119262056,1.60037618069994,570,"23-24"
"242",419,23,262,24,-0.043,-0.622729120494838,-2.287197058038,340.5,"23-24"
"243",399,23,536,24,0.062,0.628988591753305,2.41481270616203,467.5,"23-24"
"244",511,23,449,24,-0.015,-0.155022204268173,-0.332748980252957,480,"23-24"
"245",437,23,380,24,0.00700000000000001,-0.0395996740203938,-0.1898151821355,408.5,"23-24"
"246",625,23,660,24,0.002,-0.0393893855548668,0.122423531245277,642.5,"23-24"
"247",517,23,530,24,-0.00899999999999998,0.123965894334838,0.362106089229002,523.5,"23-24"
"248",596,23,682,24,0.031,0.286707178010077,1.17702972015889,639,"23-24"
"249",612,23,627,24,0.001,-0.0192887355013213,-0.161559634341965,619.5,"23-24"
"250",557,23,659,24,0.044,0.376850924663869,1.49244248248466,608,"23-24"
"251",624,23,710,24,0.03,0.135284915933482,0.675050830691505,667,"23-24"
"252",591,23,629,24,-0.022,-0.129472607755533,-0.595256783042573,610,"23-24"
"253",559,23,364,24,-0.004,-0.0374989019268313,0.0607335642869424,461.5,"23-24"
"254",716,23,718,24,-0.002,-0.0888397699896006,-0.428137528811309,717,"23-24"
"255",605,23,491,24,0.00800000000000001,-0.124001197410942,-0.584637905808316,548,"23-24"
"256",737,23,709,24,0.037,0.450133844853224,1.5306352692766,723,"23-24"
"257",699,23,700,24,0.012,0.194541494797876,0.806027302899221,699.5,"23-24"
"258",692,23,622,24,-0.005,-0.0468055602581988,-0.0740647640510881,657,"23-24"
"259",529,23,531,24,0.011,0.0343477643104728,0.0649021291704385,530,"23-24"
"260",618,23,680,24,0.019,0.0137162714545606,0.0468696860293054,649,"23-24"
"261",668,23,649,24,-0.005,-0.205802609558556,-0.879230810058242,658.5,"23-24"
"262",433,23,615,24,0.031,0.268573027085636,0.925382121271268,524,"23-24"
"263",373,23,389,24,0,-0.0559891032557648,-0.329836606841768,381,"23-24"
"264",612,23,378,24,-0.00899999999999998,-0.15861918357856,-0.769647986597141,495,"23-24"
"265",721,23,664,24,-0.00399999999999998,-0.0890780282442581,-0.465063069210373,692.5,"23-24"
"266",518,23,516,24,-0.013,-0.153548600962092,-0.41329845035153,517,"23-24"
"267",470,23,562,24,0.014,0.122787732607833,0.72975279954803,516,"23-24"
"268",449,23,540,24,-0.004,-0.0935445015996949,-0.445596383879919,494.5,"23-24"
"269",586,23,495,24,-0.015,0.0563232539656271,0.126823948452288,540.5,"23-24"
"270",578,23,667,24,-0.00800000000000001,-0.227955294580437,-0.989334896648785,622.5,"23-24"
"271",696,23,524,24,-0.028,-0.308571717157273,-1.20734533885024,610,"23-24"
"272",585,23,611,24,0.025,0.312920730688061,1.30736945723202,598,"23-24"
